;Wszystkie;;Montaż;;Spawanie;;Szlifowanie;;Pozostałe;
421;167,3;193;60;53,5;60;77;16;24;31,3;38,5
422;167,3;179,5;60;43;60;69;16;22,5;31,3;45
423;377,6;407,5;132;111,5;124;140;36;43,5;85,6;112,5
424;377,6;410,5;132;118;124;157,5;36;42;85,6;93
425;161,3;259,5;53;68;66;115;24;34;18,3;42,5
426;160,5;238,5;53;61,5;66;103;24;31,5;17,5;42,5
427;603,9;776;228;186,5;198;294,5;48;88,5;129,9;206,5
428;240;267;83,5;76,5;61,25;91;20;44;75,25;55,5
429;182,75;249,5;83,5;73;61,25;86;20;40;18;50,5
430;182,75;268;83,5;65;61,25;96;20;50;18;57
431;182,75;278;83,5;73;61,25;87;20;60;18;58
432;182,75;282;83,5;63;61,25;106,5;20;60;18;52,5
433;226,2;308;76;91,5;90;114;32;46;28,2;56,5
434;365,3;432;136;145;161;169;44;52;24,3;66
435;308;394;114;115;120;152;32;42,5;42;84,5
436;302,6;427;114;143;120;157;32;57;36,6;70
437;272;299;94;86;106;114;40;48;32;51
438;272;318;94;99;106;97;40;56;32;66
439;557,4;591;220;212;182;185;64;27;91,4;167
440;557,4;627,5;220;240,5;182;226;64;48;91,4;113
441;138,6;148,5;47;46;53;46;20;26;18,6;30,5
442;149;202,5;46;46;65;92;20;28;18;36,5
443;155,6;113,5;59;45;60;34;16;2;20,6;32,5
444;621,1;906;186;240;242;358;70;122;123,1;186
445;243,3;260,5;83;75;96;88;20;32;44,3;65,5
446;198,2;211;72;57,5;74;63,5;24;32;28,2;58
447;406,6;440,5;176;128,5;166;153,5;36;54;28,6;104,5
448;833;907;264;267;340;301,5;96;146,5;133;192
449;833;902,5;264;262,5;340;310;96;129;133;201
450;833;936,5;264;260;340;347,5;96;134;133;195
451;833;950,5;264;268;340;374;96;135;133;173,5
452;383,4;510;144;160,5;160;178,5;40;56;39,4;115
453;202,2;223;62;63;66;55;24;30,5;50,2;74,5
454;383,4;498;144;150,5;160;172,5;40;57;39,4;118
455;477,9;665;156;186,5;210;255;48;82;63,9;141,5
456;699;815,5;240;260;286;306;70;86;103;163,5
457;699;970;240;289;286;341;70;120;103;220
458;755,2;913;264;227,5;248;295,5;72;112;171,2;278
459;758,4;981,5;264;275;248;282;72;136;174,4;288,5
460;186,9;152,5;83,5;63;61,25;37;20;30;22,15;22,5
461;206;202;73;53,5;91;92;24;28;18;28,5
462;199;204;72;53;68;60;40;44;19;47
463;187,3;204,5;58;60;76;63;24;32;29,3;49,5
464;134,6;141,5;47;39;51;45;20;26;16,6;31,5
465;197,6;226;70;62;89;88;24;30;14,6;46
466;179,4;205,5;56;72;58;36,5;24;32;41,4;65
467;179,4;255,5;56;64;58;92,5;24;34;41,4;65
468;618;728,5;210;258;290;279;86;91;32;100,5
469;330,6;447;126;103,5;104;144,5;32;72;68,6;127
470;334,6;427,5;130;109;104;115;32;69,5;68,6;134
471;332,6;448;126;130;104;145;32;54;70,6;119
472;333,6;422;126;104;104;137;32;60;71,6;121
473;337,6;431;130;116;104;126;32;64;71,6;125
474;500,4;657;189;181,5;156;212;48;86,5;107,4;177
475;230;235;92;70,5;82;84;32;38,5;24;42
476;168,2;209;48;49;50;71;20;26,5;50,2;62,5
477;913;931,5;272;294,5;504;388;92;147,5;45;101,5
478;206,7;217;76;75;74;67,5;32;37,5;24,7;37
479;169,4;192,5;56;65;46;44;24;34;43,4;49,5
480;169;230,5;48;46;50;72;20;33;51;79,5
481;170,2;256,5;48;70;50;68,5;20;35;52,2;83
482;142;201,5;48;61;54;71;20;26;20;43,5
483;306;401;102;107;132;171,5;36;48;36;74,5
484;315;443;102;151;132;147;36;76;45;69
485;252;193,5;83,5;71,5;61,25;45,5;20;44;87,25;32,5
486;252;175;83,5;66,5;61,25;37,5;20;39,5;87,25;31,5
487;252;161,5;83,5;66;61,25;35;20;28;87,25;32,5
488;182,75;225;83,5;74,5;61,25;67,5;20;44;18;39
489;182,75;240,5;83,5;82,5;61,25;86,5;20;40,5;18;31
490;182,75;225;83,5;79,5;61,25;75,5;20;41;18;29
491;182,75;205;83,5;71,5;61,25;67,5;20;40;18;26
492;182,75;238,5;83,5;65;61,25;85;20;51,5;18;37
493;182,75;227,5;83,5;69;61,25;75;20;53;18;30,5
494;182,75;233;83,5;68;61,25;76,5;20;53,5;18;35
495;182,75;236;83,5;79;61,25;72,5;20;52,5;18;32
496;182,75;237;83,5;72;61,25;79,5;20;60;18;25,5
497;182,75;246,5;83,5;70,5;61,25;85,5;20;60;18;30,5
498;182,75;227,5;83,5;69;61,25;70;20;55;18;33,5
499;182,75;240,5;83,5;77;61,25;76,5;20;59,5;18;27,5
500;182,75;243,5;83,5;68,5;61,25;89;20;58,5;18;27,5
501;182,75;250,5;83,5;75;61,25;89;20;58,5;18;28
502;182,75;231;83,5;78;61,25;64;20;59;18;30
503;182,75;244,5;83,5;82,5;61,25;70,5;20;60;18;31,5
504;206,7;203;76;69,5;74;48;32;40;24,7;45,5
505;230,65;214,5;82;58;100;88;30;33;18,65;35,5
506;338,6;384,5;134;107;104;106;32;70,5;68,6;101
507;338,6;342;134;101;104;106;32;52,5;68,6;82,5
508;338,6;469,5;134;155;104;108;32;86;68,6;120,5
509;346,6;481,5;134;138;104;148;32;87;76,6;108,5
510;338,6;435,5;134;143;104;134;32;48;68,6;110,5
511;245,6;335;88;97;102;103;32;45;23,6;90
512;1422;1569,5;546;572;588;558;216;253,5;72;186
513;186,8;232;69;69,5;64;82,5;18;31;35,8;49
514;605;740;166;203;326;317;80;135;33;85
515;633;907,5;186;259;242;316;70;98,5;135;234
516;630;863;186;251;242;307;70;106;132;199
517;169;237;58;78;76;86;18;23;17;50
518;636;938,5;186;266,5;242;326,5;70;130;138;215,5
519;639,6;756,5;227;218,5;296;318;72;98,5;44,6;121,5
520;361,6;455,5;134;119;124;171,5;32;57,5;71,6;107,5
521;361,6;469,5;134;130;124;175;32;58;71,6;106,5
522;361,6;509,5;134;143;124;189;32;55;71,6;122,5
523;361,6;477,5;134;125,5;124;178,5;32;58;71,6;115,5
524;151;161,5;48;43;65;63;20;24;18;31,5
525;136,6;174,5;49;50;54;63,5;16;22;17,6;39
526;342;474,5;104;139;152;196,5;48;65;38;74
527;260,6;371,5;88;98,5;98;153,5;40;56;34,6;63,5
528;334,6;527;104;155;142;229;48;63;40,6;80
529;636,2;1037,5;216;385;292;447;80;82,5;48,2;123
530;372,2;437;132;126,5;166;139;40;56;34,2;115,5
531;93;114;36;33;33;35;12;18;12;28
532;375,3;485;122;134;183;208;48;68,5;22,3;74,5
533;247;373;88;105;98;115;32;45;29;108
534;247;386;88;120;98;109;32;62;29;95
535;272;351;94;101;106;124;40;48;32;78
536;314;451,5;118;137,5;120;172;32;48;44;94
537;111,3;151,5;42;41;40;42;16;23;13,3;45,5
538;270;359;96;93;108;149,5;36;47;30;69,5
539;527;682,5;208;196;168;214;64;98,5;87;174
540;525,4;743;208;211;168;223;64;119;85,4;190
541;527,4;615;208;190;168;210;64;102;87,4;113
542;525,4;687;208;196;168;214;64;95;85,4;182
543;52,9;80;22;23,5;21,5;22;6;9,5;3,4;25
544;52,9;85;22;23,5;21,5;25;6;10,5;3,4;26
545;133;183,5;41;44;46;50;22;35;24;54,5
546;205;288,5;70;81,5;95;107,5;24;39;16;60,5
547;556,5;744,5;222;238;213;232;72;96,5;49,5;178
548;303,2;452,5;114;120,5;118;174,5;40;55,5;31,2;102
549;687;713;239;245;334;298;72;85;42;85
550;236;342;88;88,5;84;109;32;68;32;76,5
551;236;346;88;98,5;84;95;32;79,5;32;73
552;99,3;114;32;34;34;38;20;23;13,3;19
553;87;122,5;31;27;34;41;12;17,5;10;37
554;312;443;118;153;120;150;32;53;42;87
555;311,5;397,5;118;121;120;154;32;50,5;41,5;72
556;106,6;156,5;42;42;34;51;16;24;14,6;39,5
557;579,2;774,5;220;263,5;204;255,5;64;83,5;91,2;172
558;243;300;84;90;94;103;40;46;25;61
559;89;122,5;31;31;34;39;12;26,5;12;26
560;89;120,5;31;38;34;41;12;12;12;29,5
561;163;181;55;49;70;70;20;24;18;38
562;92,1;121;30;36;39;36;12;23;11,1;26
563;229,2;296;68;82;78;82;32;53;51,2;79
564;510,6;609,5;206;191,5;202;198,5;80;112,5;22,6;107
565;412,6;557,5;134;151,5;172;201,5;68;104;38,6;100,5
566;235,6;297,5;80;92;100;114;32;34,5;23,6;57
567;235,6;361,5;80;117;100;113;32;48,5;23,6;83
568;923,6;1022,5;276;253;504;428;92;138;51,6;203,5
569;161,3;252,5;53;101,5;66;98;24;19,5;18,3;33,5
570;407,3;552;132;177;187;215;56;68;32,3;92
571;116;151,5;40;49,5;43;56;16;12,5;17;33,5
572;315,6;374,5;107;119;115;127;54;57,5;39,6;71
573;547,2;637;180;201;250;227,5;54;79;63,2;129,5
574;338,6;381,5;130;123,5;104;134,5;32;57;72,6;66,5
575;338,6;436,5;130;147;104;149,5;32;52;72,6;88
576;559,4;573,5;220,8;188;232,4;185;80;117;26,2;83,5
577;89,1;115,5;30;31;27;23;8;13,5;24,1;48
578;89,1;109,5;30;22;27;21;8;13,5;24,1;53
579;249;287,5;81;95;106;103;28;37;34;52,5
580;249;266;81;79;106;97;28;37;34;53
581;383,6;504;122;133;183;217;48;75;30,6;79
582;224;310;60;86;62;87;24;44;78;93
583;417,6;457;136;152;192;179;56;41;33,6;85
584;101,1;122;34;32,5;38;37;16;15;13,1;37,5
585;391;551,5;128;142;124;152,5;48;94;91;163
586;265,2;285;90;98;102;99;40;39;33,2;49
587;159;275,5;49;92;66;103;20;41;24;39,5
588;352,3;590;104;159;140;175;32;88;76,3;168
589;618,2;978,5;186;288,5;242;319;70;136;120,2;235
590;289,5;374;79;104;135;148;40;56;35,5;66
591;393;470;122;130,5;183;193;48;59,5;40;87
592;294,5;360;79;125;135;142;40;45;40,5;48
593;293,3;364;79;125,5;135;135;40;42;39,3;61,5
594;375;520;118;163;180;190,5;50;97;27;69,5
595;367,6;525;104;138;140;158;32;83,5;91,6;145,5
596;105,1;139;29;42,5;36;26;12;18;28,1;52,5
597;365,3;429;155;159;134;133;40;59;36,3;78
598;187,8;239,5;64;73;74;72,5;28;39;21,8;55
599;196,6;226,5;60;61;78;87;28;32;30,6;46,5
600;332,6;393,5;134;95,5;104;113;32;75;62,6;110
601;672,9;795;174;203,5;282;302;54;130;162,9;159,5
602;175,6;257,5;62;81;67;85;24;33;22,6;58,5
603;123,1;197;44;63;37;49;16;30;26,1;55
604;389,6;496;128;145;124;157;48;70;89,6;124
605;246,4;348,5;72;98;78;91;30;66;66,4;93,5
606;236;330;75;80,5;101;138;28;68,5;32;43
607;236;330;75;87;101;124;28;62;32;57
608;542,2;758,5;218;231;168;241,5;64;95;92,2;191
609;72,6;94;18;30;21;22;8;13;25,6;29
610;539,6;670,5;218;186;168;241;64;88;89,6;155,5
611;206;299;64;99,5;80;108;28;33;34;58,5
612;52,2;56;17;18,5;14,5;14;8;12;12,7;11,5
613;210,8;260;70;78;95;102;24;22;21,8;58
614;775,5;921;285;262,5;234;306;96;114,5;160,5;238
615;757,5;1014,5;267;308;234;302;96;153;160,5;251,5
616;677,2;944,5;198;301,5;242;317;76;107;161,2;219
617;834;867;260;254;318;302,5;100;115;156;195,5
618;896,2;1026,5;256;303,5;360;366;120;130;160,2;227
619;615;704,5;228;204;204;241,5;72;99,5;111;159,5
620;389,6;510;128;185,5;124;136,5;48;66;89,6;122
621;574;921,5;180;274,5;168;219;48;149;178;279
622;516,2;719;180;219;160;216;64;96;112,2;188
623;212,6;259;66;73,5;86;107;28;26;32,6;52,5
624;256;329;76;108;82;87;30;61;68;73
625;240;323;74;115,5;87;89;26;34;53;84,5
626;261,2;333,5;88;99;102;126;40;45;31,2;63,5
627;233,2;310,5;78;103;86;108,5;32;42;37,2;57
628;229,4;283;78;80;86;103;32;50;33,4;50
629;203,4;297;56;73;54;88;32;60;61,4;76
630;372;408,5;142;126;104;119;40;63;86;100,5
631;188;222,5;56;75;68;77;30;24,5;34;46
632;549,8;709,5;156;210;208;246;64;118;121,8;135,5
633;346;400;112;117;120;122;40;67,5;74;93,5
634;346;481;112;129;120;203;40;50,5;74;98,5
635;257,2;340;88;87;84;105;32;61;53,2;87
636;653,6;1088,5;242;336;264;433;88;170,5;59,6;149
637;46;62;16;15;13;17;8;8;9;22
638;553,4;689;206;181;202;228;86;145;59,4;135
639;550,8;600,5;206;177,5;202;206,5;86;103;56,8;113,5
640;620,3;886,5;183;261;255;366;90;151;92,3;108,5
641;628,1;840;182;265,5;222;227;76;114;148,1;233,5
642;628;757,5;182;211,5;222;236,5;76;113;148;196,5
643;628;737,5;182;238,5;222;238,5;76;80,5;148;180
644;565;622;206;211;202;198;102;102;55;111
645;565;554,5;206;173;202;173;102;103;55;105,5
646;685,5;848,5;174;248,5;282;274,5;54;131;175,5;194,5
647;376,6;388,5;106;114,5;168;142;52;69,5;50,6;62,5
648;1167,5;1160;474;362;396;402,5;180;205;117,5;190,5
649;164;207;48;65;67;75;26;28,5;23;38,5
650;163,7;198,5;48;60;67;80;26;27;22,7;31,5
651;162;186,5;49;63;63;67;26;25;24;31,5
652;169;184;51;55,5;67;64,5;26;31;25;33
653;169;6;52;0;69;0;28;0;20;6
654;169;6;52;0;69;0;28;0;20;6
655;759,2;904,5;254;269;248;331,5;100;87;157,2;217
656;98;118,5;28;35;25;28;12;22;33;33,5
657;864,2;1027,5;384,1;361;281,75;305,5;92;208;106,35;153
658;278,4;393;88;107;106;124;32;59;52,4;103
659;372;479,5;106;133;150;161;60;86,5;56;99
660;120,4;168;42;41;33;35;16;26;29,4;66
661;1008;1176;296;361;496;557,5;136;123;80;134,5
662;210,5;219,5;63;71;95;74;26;31;26,5;43,5
663;860,2;916;384,1;300;281,75;296,5;92;180;102,35;139,5
664;860,2;1040;384,1;318;281,75;332;92;249,5;102,35;140,5
665;860,2;1012;384,1;310;281,75;317;92;224;102,35;161
666;860,2;994;384,1;315,5;281,75;326,5;92;203;102,35;149
667;935;1127;417,5;440;306,25;351;100;172;111,25;164
668;37,4;62;16,7;41,5;12,25;13;4;5;4,45;2,5
669;376;436,5;128;138,5;124;131;48;60;76;107
670;414;487,5;128;153,5;168;136,5;80;97;38;100,5
671;565,6;677,5;196;187,5;176;216,5;80;101;113,6;172,5
672;563,6;668,5;196;185,5;176;230;80;103;111,6;150
673;391,6;453,5;128;129,5;124;159;48;61;91,6;104
674;557,6;761;196;247,5;176;240,5;80;107;105,6;166
675;563,6;775;196;274;176;240,5;80;83;111,6;177,5
676;832;931,5;260;297;318;295;100;111;154;228,5
677;374;394,5;142;118;104;127;40;58,5;88;91
678;715,5;1049,5;244;325;276;410;92;112;103,5;202,5
679;415;564,5;128;180;190;222;54;67;43;95,5
680;512,3;534,5;150;169;243;222,5;72;56;47,3;87
681;453;532;132;166,5;200;211,5;60;66;61;88
682;453;563;132;165,5;200;233;60;67,5;61;97
683;453;574,5;132;150,5;200;203,5;60;95,5;61;125
684;425;581,5;128;191;132;172,5;48;63;117;155
685;425;531;128;166,5;132;160,5;48;80;117;124
686;453;513,5;132;162,5;200;206;60;73;61;72
687;434;539,5;128;166,5;210;229,5;54;60;42;83,5
688;391,6;497;128;146;124;159,5;48;72;91,6;119,5
689;391,6;509,5;128;146;124;148,5;48;81,5;91,6;133,5
690;638;672,5;176;239;286;268;118;75;58;90,5
691;859;1050,5;211;293,5;456;430;126;168;66;159
692;858;1005,5;209;264;456;440,5;126;148,5;67;152,5
693;857;1009;211;293;456;394,5;126;147;64;174,5
694;356;429;142;127,5;104;131;40;57,5;70;113
695;354;394,5;142;112,5;104;119,5;40;64,5;68;98
696;443;604;128;162,5;180;221;56;105,5;79;115
697;393;445;152;131;104;136;44;56,5;93;121,5
698;675,2;951;198;313;242;308,5;76;109;159,2;220,5
699;632;702,5;182;255,5;222;212;76;69;152;166
700;629;728,5;182;247,5;222;216;76;107;149;158
701;291,5;310,5;114;95;89;87;36;39;52,5;89,5
702;792;905;236;284;332;343,5;136;143;88;134,5
703;261,5;278,5;85;90;108;108;36;42;32,5;38,5
704;318;335,5;96;115,5;90;79;32;39,5;100;101,5
705;393;484;122;155;183;206;48;50;40;73
706;267;296,5;81;92,5;122;113;30;49,5;34;41,5
707;108,1;115;28;43;36;21;12;17,5;32,1;33,5
708;624;762,5;182;263,5;222;217,5;76;117,5;144;164
709;565;654,5;206;230,5;202;210;102;109;55;105
710;565;644,5;206;238;202;188;102;106;55;112,5
711;364;538;123;197;138;180,5;46;72,5;57;88
712;126,5;168,5;42;65;37;50;16;23;31,5;30,5
713;337,2;506,5;102;154;122;194;58;60,5;55,2;98
714;337,2;368;102;134;122;94,5;58;71,5;55,2;68
715;105,5;147;30;51;37;37;16;22;22,5;37
716;441;552;148;196;160;187;48;59;85;110
717;261,2;264,5;88;83,5;102;87;40;36;31,2;58
718;280;374;92;117;114;141;32;54;42;62
719;318;369;100;110;138;143;36;48;44;68
720;261,2;316,5;88;114,5;102;101,5;40;52;31,2;48,5
721;254,2;343,5;64;95;98;110;40;41,5;52,2;97
722;254,2;367;64;107,5;98;112;40;75,5;52,2;72
723;435;484;132;149;140;169;48;64;115;102
724;431;563,5;132;190;140;173;48;63;111;137,5
725;629;816;182;234;222;255,5;76;151;149;175,5
726;385;363;126;144;164;121,5;58;46;37;51,5
727;385;354;126;117,5;164;131;58;49;37;56,5
728;352;449;130;185,5;145;161;40;37;37;65,5
729;376;389,5;142;130;104;110;40;54;90;95,5
730;675,2;1010,5;198;315,5;242;359,5;76;127,5;159,2;208
731;748;929,5;240;330;290;288;80;117;138;194,5
732;260,6;351;84;92;80;107,5;56;68,5;40,6;83
733;217;202,5;56;49,5;70;48,5;28;31,5;63;73
734;378;417;142;129;104;124,5;40;65,5;92;98
735;378;438,5;142;118;104;130;40;76,5;92;114
736;529,5;743;174;311;147;155;48;92;160,5;185
737;235;252,5;72;92;74;46;24;48;65;66,5
738;529,5;674;174;229;147;283;48;69;160,5;93
739;271,5;393,5;74;128;92;115;48;50;57,5;100,5
740;271;370,5;74;122,5;92;110,5;48;54,5;57;83
741;559;598;206;187;170;211,5;76;86;107;113,5
742;559;616;206;187,5;170;190;76;87,5;107;151
743;254;296,5;76;90,5;90;114;40;31,5;48;60,5
744;254;324;76;114,5;90;98,5;40;45;48;66
745;254;298;76;95;90;119;40;28,5;48;55,5
746;254;305,5;76;95;90;110;40;44;48;56,5
747;261,2;344;88;98;102;154;40;52;31,2;40
748;326;392,5;100;98;122;192;48;42;56;60,5
749;326;452,5;100;115;122;193;48;71;56;73,5
750;374;461;142;146,5;104;126,5;40;64;88;124
751;675,2;949;198;315;242;323;76;113;159,2;198
752;571;639,5;206;220,5;202;196;102;105,5;61;117,5
753;571;657;206;220,5;202;208;102;106,5;61;122
754;60,5;86;13;22,5;14,5;18;6;14;27;31,5
755;382;413,5;142;120,5;104;116;40;69;96;108
756;372;411,5;142;117,5;104;112;40;65;86;117
757;500,5;583,5;144;203,5;228;222;82;69;46,5;89
758;494;716;116;239;188;222,5;88;112;102;142,5
759;347;540;100;185;140;193;56;72,5;51;89,5
760;493,6;556;152;177,5;148;164;80;91,5;113,6;123
761;262;346;76;116,5;82;95,5;30;49;74;85
762;304;387;104;124,5;120;128;40;63,5;40;71
763;382;518;124;165,5;120;139;44;96,5;94;117
764;414;491;136;142,5;124;135;46;81;108;132,5
765;374;425,5;142;148,5;104;117,5;40;52,5;88;107
766;431;549,5;124;185,5;140;169;52;74,5;115;120,5
767;1350;1590;430;507;546;587;182;244,5;192;251,5
768;374;451,5;142;154,5;104;120;40;64;88;113
769;391,6;519;128;156;124;136;48;72;91,6;155
770;431;542;124;176,5;140;177,5;52;67,5;115;120,5
771;162;190;49;62,5;65;76;22;16;26;35,5
772;162;215,5;49;67,5;65;81,5;22;24;26;42,5
773;172;222,5;49;60;73;87;26;35,5;24;40
774;397,6;520,5;131,2;159;133,6;161;68;97;64,8;103,5
775;397,6;476,5;131,2;154,5;133,6;145,5;68;81,5;64,8;95
776;172,2;185;59;68;59;48;26;29;28,2;40
777;1089;1171;426;388;393;383;165;232,5;105;167,5
778;162;219;49;65;65;86;22;30,5;26;37,5
779;176,2;200,5;56;58;67;76;26;29;27,2;37,5
780;534;662,5;176;202;162;192;80;106;116;162,5
781;300,2;403,5;84;131;110;125,5;52;59;54,2;88
782;300,2;378,5;84;117;110;118;52;58;54,2;85,5
783;117;146;26;47;29;26;12;20,5;50;52,5
784;117;163,5;26;45;29;35;12;23;50;60,5
785;119;189;26;65;31;43;12;18;50;63
786;318;389;93,6;122;108,8;132;60;63;55,6;72
787;80,2;103;28;32;26;32;10;12;16,2;27
788;356,4;439,5;104;127;126;129;64;84;62,4;99,5
789;366,4;411;112;126;132;147;60;50;62,4;88
790;366,4;410,5;112;145;132;118;60;54;62,4;93,5
791;366,4;435,5;112;144,5;132;128;60;76;62,4;87
792;366,4;439,5;112;148;132;135;60;71;62,4;85,5
793;632;730;182;198,5;222;237;76;90;152;204,5
794;257;329,5;76;103;78;80;40;70,5;63;76
795;372;425;142;120,5;104;130,5;40;55;86;119
796;372;466;142;129,5;104;132;40;67;86;137,5
797;632;754,5;182;215;222;245;76;113;152;181,5
798;515;703,5;180;221,5;160;212;64;106;111;164
799;675,2;1005;198;316;242;326;76;153;159,2;210
800;500,5;557;144;161;228;244,5;82;78;46,5;73,5
801;274;348;88;109,5;84;93;32;59;70;86,5
802;274;358,5;88;123;84;94,5;32;59;70;82
803;141,2;155,5;32;42;42;41;16;30,5;51,2;42
804;141,2;161;32;41;42;43;16;30,5;51,2;46,5
805;500,5;584,5;144;185,5;228;235,5;82;80,5;46,5;83
806;146;232;40;79,5;46;72;28;39;32;41,5
807;146;241,5;40;88,5;46;70,5;28;42,5;32;40
808;292;413,5;92;128;106;138;44;74,5;50;73
809;414,3;548,5;128;191;190;217,5;54;54;42,3;86
810;376;477,5;124;135;112;133;44;58,5;96;151
811;493,6;615,5;152;205,5;148;152;80;112,5;113,6;145,5
812;354,8;460;104;158,5;132;134,5;62;74;56,8;93
813;353,8;426;104;125;132;137;62;82,5;55,8;81,5
814;353,8;478;104;168,5;132;133;62;75;55,8;101,5
815;353,8;456;104;133;132;129;62;83,5;55,8;110,5
816;547,2;661,5;186;211;200;209;82;105,5;79,2;136
817;362,2;524;98;167;136;166;76;88;52,2;103
818;124;182;39;65;45;56;20;27;20;34
819;261,2;371;88;107;102;151;40;48;31,2;65
820;261,2;353;88;107;102;143;40;40,5;31,2;62,5
821;393;486;120;177,5;174;190;62;56;37;62,5
822;393;539;120;206,5;174;205,5;62;68;37;59
823;300;450;104;138;101;158;60;78;35;76
824;547,2;654;186;221;200;208;82;94;79,2;131
825;1104;1235;426;415;393;403;168;184;117;233
826;225,51;275,5;52;75;72;82;36;48;65,51;70,5
827;506,2;583,5;140;196;202;199;86;82;78,2;106,5
828;506,2;585;140;186;202;222,5;86;68;78,2;108,5
829;506,2;605;140;224;202;210;86;64;78,2;107
830;344;434,5;98;128;146;159;52;58;48;89,5
831;344;410,5;98;122;146;145,5;52;57;48;86
832;119;155,5;26;47,5;31;40;12;12;50;56
833;228,2;266,5;62;81,5;80;82;44;46;42,2;57
834;238,2;296;62;94,5;86;86,5;44;48;46,2;67
835;236,2;290;62;104;86;88;44;48;44,2;50
836;1040;1321,5;356;461;418;538;180;163;86;159,5
837;691;1003;229;349,5;324;420;72;95;66;138,5
