;Wszystkie;;Montaż;;Spawanie;;Szlifowanie;;Pozostałe;
838;391,6;529;128;156,5;124;131;48;90;91,6;151,5
839;258,5;331;84;110;100;115;26;44,5;48,5;61,5
840;632;776;182;220,5;222;243;76;111;152;201,5
841;375;476;142;149,5;104;141;40;59,5;89;126
842;195;221,5;60;63;78;79;28;26,5;29;53
843;269,2;298;88;89;102;93;40;46;39,2;70
844;778,5;952,5;248;335;316;343;144;154,5;70,5;120
845;432;512;132;140;164;186;64;90;72;96
846;312;409;100;132,5;118;129;48;65;46;82,5
847;127;165;38;57;41;45;15;19;33;44
848;411;554;132;164,5;126;143;48;81,5;105;165
849;411;512;132;161;126;134;48;82;105;135
850;385,86;464;93;130;129;141;84;89,5;79,86;103,5
851;364,8;579;118;241;168;229;50;50;28,8;59
852;363,3;540,5;118;200;168;221;50;69;27,3;50,5
853;393;596;120;209;174;226;62;80;37;81
854;178;233,5;51;69,5;77;91;26;35;24;38
855;915,2;1156;258;344;284;321;136;119,5;237,2;371,5
856;920,2;1181;258;344,5;284;346,5;136;136;242,2;354
857;134,6;156,5;44;49;51;53;20;27;19,6;27,5
858;290,4;362;88;98;90;101;40;73,5;72,4;89,5
859;568;658,5;202;231,5;216;216,5;96;101;54;109,5
860;586,8;685,5;202;237;216;215;102;109;66,8;124,5
861;496,4;629,5;144;207;198;203;92;100;62,4;119,5
862;452,2;538,5;139,2;154;169,6;164;84;99;59,4;121,5
863;452,2;531,5;139,2;159;169,6;156;84;101;59,4;115,5
864;102,5;135,5;26;34;27;27;14;19;35,5;55,5
865;195,2;239;60;78;50;59;30;31,5;55,2;70,5
866;195,2;221,5;60;71;50;52;30;27,5;55,2;71
867;331;410;114;122;122;166;60;64;35;58
868;331;394,5;114;121;122;151;60;64;35;58,5
869;632;827,5;182;251;222;280;76;112;152;184,5
870;372;462,5;142;153,5;104;132;40;60,5;86;116,5
871;815;818,5;296;254;284;292;144;143,5;91;129
872;222,2;273,5;56;77;78;78;24;40,5;64,2;78
873;202,2;270,5;56;88;78;77;24;41,5;44,2;64
874;285,6;528,5;92;178;106;166;48;102;39,6;82,5
875;222;264,5;66;81,5;62;62;32;43;62;78
876;150,5;220,5;46;70;61;81;22;31,5;21,5;38
877;225;279,5;68;78;78;91;40;47,5;39;63
878;320;425,5;100;117;122;166;48;62;50;80,5
879;269,2;317,5;88;101;102;112;40;54;39,2;50,5
880;490,4;617;156;208;180;205,5;92;93;62,4;110,5
881;490,4;613,5;156;215;180;205;92;87;62,4;106,5
882;372;415,5;142;102;104;117;40;81,5;86;115
883;632;761;182;205;222;264;76;120;152;172
884;202,5;227,5;66;56;67;76;30;39;39,5;56,5
885;500,5;594,5;144;192;228;237;82;88;46,5;77,5
886;344;406;98;98;146;189;52;54;48;65
887;319;514;90;247;126;175;52;50;51;42
888;312;335,5;100;84;118;129;48;57,5;46;65
889;312;272;100;78;118;109;48;47;46;38
890;209;257;56;80,5;62;63;28;39,5;63;74
891;481,6;516,5;144;153;190;191;76;59;71,6;113,5
892;481,6;504,5;144;161;190;190;76;64;71,6;89,5
893;320;444;100;120,5;122;182;48;63,5;50;78
894;269,2;319,5;88;101;102;116;40;46,5;39,2;56
895;58;83;17;35;19;16;8;10;14;22
896;207,2;257,5;60;62,5;78;88;36;47;33,2;60
897;585;897;168;281;237;285;84;116;96;215
898;222,2;244;56;68;78;75;24;42,5;64,2;58,5
899;405;452,5;112;113;178;188;60;66;55;85,5
900;249;276,5;81;85;106;102;28;43;34;46,5
901;249;230;81;71;106;103;28;27;34;29
902;527;616;190;184;162;224;76;75;99;133
903;527;640;190;168;162;215;76;106;99;151
904;527;678,5;190;176;162;226;76;104;99;172,5
905;423;551;128;137;132;194;48;72;115;148
906;632;750,5;182;186;222;273;76;123,5;152;168
907;372;418,5;142;121;104;128;40;52;86;117,5
908;372;116;142;9;104;4;40;4;86;99
909;492;614,5;154;197;152;181;76;84;110;152,5
910;1008;1115,5;296;349;496;505;136;141,5;80;120
911;198,5;289,5;62;105,5;65;72;30;44;41,5;68
912;154,4;197,5;46;62,5;46;60,5;24;32;38,4;42,5
913;154,4;214,5;46;66;46;75;24;30;38,4;43,5
914;568,6;692,5;174;209;228;259;96;125;70,6;99,5
915;496,4;614;144;150;198;217,5;92;121,5;62,4;125
916;496,4;597;144;128;198;221;92;118;62,4;130
917;391,6;491;128;145;124;162;48;72;91,6;112
918;154,4;215,5;46;71;46;67;24;30;38,4;47,5
919;391,6;486;128;143;124;149;48;65;91,6;129
920;391,6;473,5;128;142,5;124;148;48;55;91,6;128
921;433;500;128;129;164;167,5;84;103;57;100,5
922;317,8;382,5;92;95;114;118;52;75,5;59,8;94
923;234,4;290;78;89,5;86;97;32;45;38,4;58,5
924;586,8;610;202;162;216;214,5;102;110;66,8;123,5
925;586,8;688,5;202;251,5;216;213,5;102;118;66,8;105,5
926;300,8;366;92;95;100;107;58;74;50,8;90
927;279;396,5;88;106;84;119;40;63,5;67;108
928;270,7;368;78,6;84;90,5;116;41;75;60,6;93
929;390;447;124;169;158;170;72;49;36;59
930;372;450;142;131;104;141;40;57;86;121
931;372;449,5;142;119,5;104;144;40;61,5;86;124,5
932;134,5;136;43;37,5;45;39;20;23;26,5;36,5
933;632;833;182;279;222;269,5;76;106;152;178,5
934;632;886;182;305;222;262;76;121,5;152;197,5
935;89,1;112;22;23;28;37;20;22,5;19,1;29,5
936;202,5;212,5;62;48;76;72,5;32;35;32,5;57
937;209;220,5;56;55,5;62;62;28;34;63;69
938;389;496;124;177,5;158;188;72;79;35;51,5
939;254;308;76;79,5;82;97;30;45,5;66;86
940;134,6;155;44;41,5;51;47;20;34;19,6;32,5
941;372;400;142;115;104;136;40;53;86;96
942;187;223,5;62;62;56;71;22;26;47;64,5
943;586,8;703,5;202;224;216;247,5;102;111;66,8;121
944;586,8;665,5;202;223,5;216;203,5;102;105;66,8;133,5
945;527;607;190;194,5;162;203;76;78;99;131,5
946;527;614;190;168;162;223;76;79,5;99;143,5
947;380;420,5;142;116;104;148;40;61;94;95,5
948;372;433;142;134;104;132;40;62,5;86;104,5
949;155,02;193;42;42;55;71;30;31;28,02;49
950;277;462,5;86;197;128;159;36;40;27;66,5
951;408,9;568,5;112,6;151;148,5;222;73;93,5;74,8;102
952;271;300;88;85,5;80;92;36;49,5;67;73
953;899,4;1354;269,2;497;329;552,5;154;133;147,2;171,5
954;201;239,5;62;64;76;88;34;42;29;45,5
955;1029;1873,5;380;856;360;602;160;181;129;234,5
956;527;678,5;190;213,5;162;213;76;71,5;99;180,5
957;632;838,5;182;291,5;222;264;76;102;152;181
958;500,5;606,5;144;236;228;231;82;78;46,5;61,5
959;265;260;86;77;82;73;48;51;49;59
960;584;910;174;326,5;274;399,5;92;86,5;44;97,5
961;372;361;142;108;104;123;40;53;86;77
962;154,4;211,5;46;66;46;63;24;30;38,4;52,5
963;102;127;30;37;25;32;14;16;33;42
964;160;219;50;59,5;61;85;24;35;25;39,5
965;117;137;30;35;31;27;16;22;40;53
966;320;397,5;100;96;122;183;48;63,5;50;55
967;320;394;100;98;122;170,5;48;63,5;50;62
968;160;181,5;50;44,5;61;77;24;29;25;31
969;160;210,5;50;69,5;61;81;24;29;25;31
970;586,8;693;202;261,5;216;214;102;94;66,8;123,5
971;384;537;130;237;158;200;56;45;40;55
972;845;1014,5;248;342;286;339,5;132;153;179;180
973;401;474;120;113;134;156;68;81,5;79;123,5
974;270,6;308;91;81,5;100;122,5;41;52;38,6;52
975;180,5;220;58;49;68;110;30;30;24,5;31
976;175;198;52;55;73;90;26;29,5;24;23,5
977;175;222,5;52;84;73;89;26;31;24;18,5
978;433;510;132;137;164;208,5;76;74;61;90,5
979;1093,5;1725,5;384;663;411;691,5;156;196,5;142,5;174,5
980;143,2;168,5;32;40;42;57,5;16;24;53,2;47
981;143,2;124;32;35,5;42;27;16;22;53,2;39,5
982;577;889,5;202;329,5;218;279,5;88;184;69;96,5
983;577;951;202;343,5;218;335;88;172;69;100,5
984;577;808;202;330;218;253;88;132;69;93
985;577;822,5;202;286,5;218;281,5;88;156;69;98,5
986;222,2;185,5;56;52;78;51;24;30;64,2;52,5
987;222,2;179;56;48;78;53;24;28,5;64,2;49,5
988;147;176,5;42;54,5;46;49;24;29;35;44
989;279;300,5;88;90;84;112;40;52,5;67;46
990;461;599;148;182,5;180;261;68;63;65;92,5
991;461;558;148;186;180;226,5;68;68;65;77,5
992;852,15;1101,5;384,1;391,5;281,75;389,5;92;188;94,3;132,5
993;238;233;56;64,5;78;68;40;41,5;64;59
994;250;391;76;111;86;142,5;44;62,5;44;75
995;91,1;96,5;24;27;30;30;20;20,5;17,1;19
996;499,2;651;160;279;184;180;88;105;67,2;87
997;499,2;644;160;257;184;187;88;103;67,2;97
998;391,6;440,5;128;130,5;124;155;48;62;91,6;93
999;391,6;426;128;135;124;138;48;52;91,6;101
1000;372;392,5;142;116;104;133;40;55,5;86;88
1001;124,5;130,5;36;38,5;45;46;16;22;27,5;24
1002;489;577;154;202,5;148;172;76;100;111;102,5
1003;401;524;116;151,5;146;173;60;65;79;134,5
1004;527;666,5;190;245,5;162;209;76;83;99;129
1005;632;794;182;275;222;265,5;76;125,5;152;128
1006;500,5;628;144;219,5;228;276;82;75,5;46,5;57
1007;170,8;182;66;70;61;58;26;28;17,8;26
1008;224,2;228,5;68;62;82;86;44;46;30,2;34,5
1009;222,2;205,5;56;61;78;55;24;37,5;64,2;52
1010;222,2;210,5;56;62;78;56;24;38,5;64,2;54
1011;225,2;218,5;64;63;68;63;32;41;61,2;51,5
1012;223;385;106;153;40;86;20;109;57;37
1013;225;339;106;70;40;90;20;120;59;59
1014;138;155;40;39;44;49;20;27;34;40
1015;225,2;160,5;64;62,5;68;62;32;1;61,2;35
1016;70,6;67;16;17;21;17;8;12;25,6;21
1017;372;398;142;110,5;104;134,5;40;56;86;97
1018;372;395;142;117;104;125;40;56;86;97
1019;372;404;142;117;104;144;40;50,5;86;92,5
1020;236,6;267;78;76;80;105;40;41;38,6;45
1021;1117;1440,5;374;650;466;450,5;172;197;105;143
1022;291;360;84;101;114;144;52;59;41;56
1023;224,3;243,5;75;63;84;113;34;36;31,3;31,5
1024;670,5;736;212;255;308;295;92;106;58,5;80
1025;301;326,5;92;101;122;140;44;48,5;43;37
1026;425;427;128;120,5;132;135;48;63,5;117;108
1027;70,1;80;21;23,5;21;26;12;20,5;16,1;10
1028;70,1;82;21;26,5;21;29;12;17,5;16,1;9
1029;70,1;74,5;21;24,5;21;26;12;13;16,1;11
1030;70,1;80,5;21;27,5;21;25;12;17;16,1;11
1031;70,1;87,5;21;26,5;21;29;12;16;16,1;16
1032;371,6;401;131,2;120,5;119,6;129;64;77;56,8;74,5
1033;371,6;371,5;131,2;125;119,6;115;64;65;56,8;66,5
1034;586,8;634,5;202;238;216;186;102;101;66,8;109,5
1035;586,8;623,5;202;232;216;195;102;115;66,8;81,5
1036;496,4;547,5;144;158;198;200;92;108,5;62,4;81
1037;233,6;257,5;72;68,5;66;86,5;32;34;63,6;68,5
1038;233,6;225,5;72;69;66;82;32;41;63,6;33,5
1039;111,5;117,5;32;30,5;41;48;20;18;18,5;21
1040;118;133;30;32;31;35;16;23,5;41;42,5
1041;291;330,5;84;97,5;114;138,5;52;50,5;41;44
1042;315,6;335;92;90;114;127;60;65;49,6;53
1043;234,4;259,5;78;73,5;86;103;32;45;38,4;38
1044;488;526,5;154;156;148;151,5;76;74;110;145
1045;187;208,5;62;60;56;63;22;30;47;55,5
1046;499,2;617,5;160;227,5;184;184;88;102;67,2;104
1047;499,2;679;160;255,5;184;200;88;103;67,2;120,5
1048;499,2;638;160;237,5;184;206,5;88;100;67,2;94
1049;154;160,5;40;47;44;36;20;24,5;50;53
1050;425;423;128;131;132;127;48;60;117;105
1051;374;408;124;129;112;134;44;56;94;89
1052;195;181;76;70;52;49;22;30;45;32
1053;372;341,5;142;117,5;104;111;40;44;86;69
1054;190,5;309,5;62;110,5;69;101;30;66,5;29,5;31,5
1055;161,2;197;52;50;52;66,5;20;26;37,2;54,5
1056;161,2;172;52;47;52;70;20;27,5;37,2;27,5
1057;124,2;159,5;36;43;37;58;26;27,5;25,2;31
1058;71,6;85,5;16;23;21;21;8;11;26,6;30,5
1059;586,8;699;202;274;216;216;102;122,5;66,8;86,5
1060;586,8;659;202;245;216;214,5;102;114,5;66,8;85
1061;138;172,5;40;42;50;71;26;32,5;22;27
1062;249;261;81;67;106;109;28;50;34;35
1063;251;268;84;85,5;94;99;26;28;47;55,5
1064;243,5;358;89;129;80;127;30;45,5;44,5;56,5
1065;153,5;131,5;48;41;59;45;22;24;24,5;21,5
1066;372;403;142;117;104;125;40;53;86;108
1067;372;391,5;142;112,5;104;124;40;57,5;86;97,5
1068;509,5;726;190;288,5;186;253;80;91;53,5;93,5
1069;1389;1701,5;436;562,5;526;562;202;286;225;291
1070;103;117,5;30;44;25;29;14;18;34;26,5
1071;222,2;201;56;60;78;55;24;34;64,2;52
1072;291;315;84;90;114;123;52;60;41;42
1073;183,5;188;65;64;54;64;20;24;44,5;36
1074;279,4;248,5;88;88;86;69;48;43;57,4;48,5
1075;320;364;100;131;122;138;48;52;50;43
1076;538,5;598;165;166,5;207;265;84;97;82,5;69,5
1077;586,8;716;202;268,5;216;234;102;118;66,8;95,5
1078;499,2;594,5;160;212;184;185;88;110,5;67,2;87
1079;320;318;100;97;122;133;48;52;50;36
1080;320;344;100;89,5;122;165;48;54,5;50;35
1081;134,6;128;44;38;51;50;20;21,5;19,6;18,5
1082;167;179,5;54;58;50;62;28;35,5;35;24
1083;331;404;114;139,5;122;157,5;60;64;35;43
1084;331;419;114;163,5;122;156;60;64;35;35,5
1085;315,6;350,5;92;100;114;121;60;69,5;49,6;60
1086;195;259,5;60;69,5;46;70,5;24;45,5;65;74
1087;321,5;326,5;118;131;127;123;40;40;36,5;32,5
1088;159;170;42;56;54;46,5;28;32;35;35,5
1089;148,6;170,5;42;43;51;66,5;26;30,5;29,6;30,5
1090;316,5;436,5;110;156;118;165;56;65;32,5;50,5
1091;316,5;438,5;110;163;118;169;56;58;32,5;48,5
1092;433;550,5;128;178;164;168;84;109,5;57;95
1093;253;320;88;93;84;134,5;40;52;41;40,5
1094;134,6;144;44;35,5;51;52,5;20;23,5;19,6;32,5
1095;394;492;130;161;168;216;56;61,5;40;53,5
1096;565,6;715;196;211,5;176;244,5;80;130,5;113,6;128,5
1097;565,6;716,5;196;201,5;176;248;80;132,5;113,6;134,5
1098;301;367;92;102;122;175;44;52;43;38
1099;312;318,5;100;93;118;116;48;53,5;46;56
1100;69,6;61;22;17;22,5;20;10;10,5;15,1;13,5
1101;69,6;62;22;18;22,5;17;10;12;15,1;15
1102;69,6;65;22;16;22,5;24;10;12;15,1;13
1103;69,6;59,5;22;16;22,5;19;10;12;15,1;12,5
1104;481;591;138;148;192;263;84;96;67;84
1105;311;356,5;100;110;118;137,5;48;54,5;45;54,5
1106;493,6;606,5;152;190;148;167;80;113,5;113,6;136
1107;382;469;124;119,5;120;162;44;86;94;101,5
1108;489;540;154;162;148;169;76;83;111;126
1109;320;350,5;100;95;122;164;48;55,5;50;36
1110;256;372,5;96;175,5;90;92;32;58,5;38;46,5
1111;287;401;96;208,5;90;98;32;55;69;39,5
1112;259;295;80;81;80;104;36;41,5;63;68,5
1113;372;393;142;118,5;104;132;40;52,5;86;90
1114;372;407,5;142;121;104;136,5;40;71;86;79
1115;372;412,5;142;134,5;104;144;40;55;86;79
1116;372;446,5;142;128,5;104;146;40;68;86;104
1117;372;444;142;116;104;135;40;78;86;115
1118;372;411,5;142;114;104;130;40;54;86;113,5
1119;372;459,5;142;118;104;149;40;91;86;101,5
1120;249;266;81;98,5;106;105;28;29,5;34;33
1121;235,8;238,5;63;66;69;62;42;50;61,8;60,5
1122;235,8;240;63;66;69;73;42;49,5;61,8;51,5
1123;143,2;168;32;35,5;42;51;16;25,5;53,2;56
1124;112,5;108;30;29,5;33;30;16;19;33,5;29,5
1125;372;489,5;142;153;104;138;40;82;86;116,5
1126;236;298;74;94;87;109;26;34;49;61
1127;390,6;509,5;128;154;124;174;48;60,5;90,6;121
1128;374;494;124;141,5;112;152;44;92;94;108,5
1129;372;463;142;131,5;104;139;40;82;86;110,5
1130;344;366,5;98;89;146;180;52;46,5;48;51
1131;203,2;248,5;48;74;68;68;40;50,5;47,2;56
1132;166,2;181;48;43;49;59;32;35;37,2;44
1133;852,15;1064;384,1;377,5;281,75;372;92;204,5;94,3;110
1134;436,5;494,5;146;170;207;201;40;54;43,5;69,5
1135;2189;2680;708;983;700;756,5;312;370;469;570,5
1136;777;931,5;280;343;262;302;144;150;91;136,5
1137;147,8;197,5;46;51;47;74;34;42;20,8;30,5
1138;254;372,5;76;114,5;90;119;40;78;48;61
1139;104,5;100;28;26,5;31;28;14;16;31,5;29,5
1140;175;217;52;58;73;104;26;28;24;27
1141;162,5;196,5;50;55;63;75,5;26;36,5;23,5;29,5
1142;162;189,5;49;54;65;85;22;18,5;26;32
1143;175;212;52;60,5;73;91;26;34;24;26,5
1144;317,4;376,5;94;99;110;125,5;60;71;53,4;81
1145;254;289;76;81;78;90;40;46;60;72
1146;356,8;450;114;160,5;94;128;70;86;78,8;75,5
1147;356,8;436;114;138;94;130;70;82,5;78,8;85,5
1148;389,6;568;128;193;124;162,5;48;92;89,6;120,5
1149;389,6;496;128;128;124;165;48;89,5;89,6;113,5
1150;587;748,5;198;236,5;202;267;76;131;111;114
1151;124,8;234,5;44;82;24;48;24;63;32,8;41,5
1152;145,5;169,5;42;45;51;62;26;29;26,5;33,5
1153;249;255,5;81;87,5;106;101,5;28;32;34;34,5
1154;372,9;623,5;104;214;150;157;65;141,5;53,9;111
1155;485,2;552,5;156;189;180;186,5;84;90;65,2;87
1156;96,5;118;26;37;27;30;14;15;29,5;36
1157;285;357,5;80;120;74;81,5;48;58;83;98
1158;1067;1616,5;348;666;444;566;156;247;119;137,5
1159;372;420;142;112,5;104;124,5;40;76;86;107
1160;372;445;142;134,5;104;132;40;79,5;86;99
1161;527;625,5;190;197;162;209;76;95,5;99;124
1162;372;419;142;128;104;138;40;67,5;86;85,5
1163;372;412;142;139,5;104;118;40;51;86;103,5
1164;573,6;672,5;196;223;176;240;80;100,5;121,6;109
1165;573,6;655,5;196;175;176;228;80;91,5;121,6;161
1166;271,6;348;91;128;100;115;41;67;39,6;38
1167;374;418;124;133,5;112;141;44;60;94;83,5
1168;509,5;654,5;190;259;186;224;80;83;53,5;88,5
1169;569,6;861,5;174;352,5;228;265,5;96;120;71,6;123,5
1170;246,2;380,5;76;117,5;74;108;44;64;52,2;91
1171;246,2;338,5;76;106;74;110,5;44;58;52,2;64
1172;141,2;140;32;38;42;30;16;23;51,2;49
1173;269,2;302;88;100;102;102;40;55;39,2;45
1174;269,2;258,5;88;83;102;89;40;46,5;39,2;40
1175;269,2;262;88;83;102;96;40;47;39,2;36
1176;331;414;114;150;122;162,5;60;51,5;35;50
1177;1152;1340,5;384;380;426;585,5;180;189;162;186
1178;197,6;228,5;64;83;63;74;24;30;46,6;41,5
1179;394,8;426;100;158;176;159;72;68;46,8;41
1180;209;191;56;57;62;39;28;33;63;62
1181;195,8;233;64;70;62;69;24;26;45,8;68
1182;372;415,5;142;130;104;132;40;40,5;86;113
1183;372;397;142;129;104;129;40;50;86;89
1184;372;394,5;142;118;104;124;40;45;86;107,5
1185;492;607;154;202,5;148;183,5;76;82,5;114;138,5
1186;377;473,5;100;130;102;109;64;70,5;111;164
1187;397,6;458;131,2;143,5;133,6;135,5;68;78;64,8;101
1188;388;465,5;125,6;134,5;130,8;151;68;83,5;63,6;96,5
1189;403;744,5;106;263;162;229;76;147;59;105,5
1190;403;756,5;106;255,5;162;264;76;122;59;115
1191;186,2;193,5;46;55,5;56;46;26;29;58,2;63
1192;186,2;195;46;60,5;56;40;26;27,5;58,2;67
1193;254;315,5;76;86;90;125,5;40;48,5;48;55,5
1194;254;330,5;76;95,5;90;127,5;40;45;48;62,5
1195;315,6;416,5;92;116,5;114;153;60;69;49,6;78
1196;94,6;88;23;29,5;28;19;13;13;30,6;26,5
1197;79,5;91;21;30,5;27;25;14;16;17,5;19,5
1198;424,5;473,5;146;189,5;195;158;40;44,5;43,5;81,5
1199;426,9;658,5;174;321;147;145;48;119;57,9;73,5
1200;385,5;578,5;144;260;135;130;48;106;58,5;82,5
1201;433;457;132;133;164;188;76;71;61;65
1202;433;467,5;132;125;164;212;76;72,5;61;58
1203;186,2;181;46;47;56;39;26;30,5;58,2;64,5
1204;155,5;150;50;44,5;59;45;24;26;22,5;34,5
1205;175;205,5;52;53;73;94;26;28;24;30,5
1206;629,5;786,5;164;259,5;294;321;118;147;53,5;59
1207;175;195;52;49,5;73;95;26;28;24;22,5
1208;104,5;81,5;28;23;31;20;14;15;31,5;23,5
1209;344;393,5;98;110,5;146;173;52;59;48;51
1210;418;495;140;160;144;180;72;75;62;80
1211;493,6;545,5;152;159,5;148;176;80;91;113,6;119
1212;423;511;128;148,5;132;162;48;59,5;115;141
1213;423;474,5;128;149,5;132;173;48;52;115;100
1214;423;540,5;128;154,5;132;170;48;64;115;152
1215;129,5;148;40;47,5;40;43;18;20;31,5;37,5
1216;573,6;664;196;191,5;176;228;80;102,5;121,6;142
1217;573,6;647;196;184;176;221;80;96;121,6;146
1218;265,2;244;86;73,5;82;74;48;55;49,2;41,5
1219;904;1140,5;272;400;310;331,5;144;172;178;237
1220;305,5;515;104;225,5;76;133;72;85;53,5;71,5
1221;421,6;129,5;112;65,5;152;5;56;6;101,6;53
1222;246,4;295;56;87;108;121;44;42;38,4;45
1223;863;1089;272;325;290;305,5;128;212,5;173;246
1224;863;1092;272;365,5;290;295,5;128;217;173;214
1225;222,2;204;56;56,5;78;59;24;27,5;64,2;61
1226;186;43;71;8;52;2;20;0,5;43;32,5
1227;253;299,5;88;99,5;84;101;40;41;41;58
1228;210,2;177,5;52;46;54;44;20;24;84,2;63,5
1229;234,4;270;78;91;86;105;32;33;38,4;41
1230;269,2;253,5;88;83;102;95;40;42,5;39,2;33
1231;269,2;253;88;78;102;98;40;39,5;39,2;37,5
1232;269,2;246,5;88;73;102;101;40;39;39,2;33,5
1233;269,2;253,5;88;82,5;102;95,5;40;38;39,2;37,5
1234;269,2;236;88;72;102;93;40;37,5;39,2;33,5
1235;269,2;270,5;88;84;102;102;40;45,5;39,2;39
1236;148;193;40;41;38;44;20;32;50;76
1237;158,5;221;46;55;63;96;26;24;23,5;46
1238;534;331,5;176;116;162;110,5;80;11;116;94
1239;269,2;249,5;88;77;102;103;40;36,5;39,2;33
1240;162;183,5;49;50;65;78;22;29;26;26,5
1241;162;197,5;49;52;65;82;22;31;26;32,5
1242;302;306,5;100;89;110;107,5;48;51;44;59
1243;302;269;100;83,5;110;86;48;50,5;44;49
1244;302;293;100;88,5;110;96;48;49,5;44;59
1245;624;366;176;127;252;115;120;42;76;82
1246;779;936,5;272;366;304;327;136;85,5;67;158
1247;493,6;310,5;152;87;148;111;80;8;113,6;104,5
1248;551,2;698;196;224;156;242,5;80;94;119,2;137,5
1249;489;407,5;154;132,5;148;144;76;20;111;111
1250;431;561,5;124;143;140;194,5;52;87;115;137
1251;2717;1688;885;530,5;875;317;370;207,5;587;633
1252;1303;6;372;0;624;0;184;0;123;6
1253;327;382;108;101;126;152,5;48;67,5;45;61
1254;663;344,5;195;94;186;106;114;18;168;126,5
1255;665;793;195;225;186;262;114;130;170;176
1256;646;38;184;0;264;0;120;0;78;38
1257;76,6;86;29;26;24;29;10;14;13,6;17
1258;227,6;262;60;80;66;93;32;11;69,6;78
1259;302;19;100;4;110;3;48;1,5;44;10,5
